date,ticker,close,currency,source
2025-08-21,000660.KS,276499,KRW,derived
2026-07-22,000660.KS,1.76405e+06,KRW,derived
2026-08-14,000660.KS,1.42001e+06,KRW,derived
2026-08-21,000660.KS,1.73e+06,KRW,sheet
2025-08-21,AAOI,21.01,USD,derived
2026-07-22,AAOI,102.412,USD,derived
2026-08-14,AAOI,132.805,USD,derived
2026-08-21,AAOI,129.1,USD,sheet
2025-08-21,AAPL,232.782,USD,derived
2026-07-22,AAPL,333.726,USD,derived
2026-08-14,AAPL,308.248,USD,derived
2026-08-21,AAPL,311.3,USD,sheet
2025-08-21,ACMR,25.4803,USD,derived
2026-07-22,ACMR,83.9158,USD,derived
2026-08-14,ACMR,79.4094,USD,derived
2026-08-21,ACMR,78.52,USD,sheet
2025-08-21,AEHR,18.8599,USD,derived
2026-07-22,AEHR,81.0478,USD,derived
2026-08-14,AEHR,106.204,USD,derived
2026-08-21,AEHR,105.97,USD,sheet
2025-08-21,AEVA,13.2803,USD,derived
2026-07-22,AEVA,16.7095,USD,derived
2026-08-14,AEVA,23.6911,USD,derived
2026-08-21,AEVA,18.87,USD,sheet
2026-08-21,AGLT,1,USD,sheet
2025-08-21,ALAB,190.692,USD,derived
2026-07-22,ALAB,303.605,USD,derived
2026-08-14,ALAB,317.231,USD,derived
2026-08-21,ALAB,290.52,USD,sheet
2025-08-21,ALMU,18.1002,USD,derived
2026-07-22,ALMU,14.6003,USD,derived
2026-08-14,ALMU,17.2505,USD,derived
2026-08-21,ALMU,14.92,USD,sheet
2025-08-21,AMAT,188.244,USD,derived
2026-07-22,AMAT,529.686,USD,derived
2026-08-14,AMAT,522.106,USD,derived
2026-08-21,AMAT,496.21,USD,sheet
2025-08-21,AMD,180.951,USD,derived
2026-07-22,AMD,495.734,USD,derived
2026-08-14,AMD,469.554,USD,derived
2026-08-21,AMD,469.46,USD,sheet
2025-08-21,AMKR,24.5203,USD,derived
2026-07-22,AMKR,62.9378,USD,derived
2026-08-14,AMKR,52.869,USD,derived
2026-08-21,AMKR,50.86,USD,sheet
2025-08-21,AMZN,230.983,USD,derived
2026-07-22,AMZN,247.229,USD,derived
2026-08-14,AMZN,278.103,USD,derived
2026-08-21,AMZN,260.11,USD,sheet
2025-08-21,ARM,140.554,USD,derived
2026-07-22,ARM,267.178,USD,derived
2026-08-14,ARM,267.863,USD,derived
2026-08-21,ARM,250.72,USD,sheet
2025-08-21,ASML,755.225,USD,derived
2026-07-22,ASML,1747.51,USD,derived
2026-08-14,ASML,1733.5,USD,derived
2026-08-21,ASML,1750.31,USD,sheet
2025-08-21,ASTS,50.05,USD,derived
2026-07-22,ASTS,55.0097,USD,derived
2026-08-14,ASTS,68.7592,USD,derived
2026-08-21,ASTS,65.06,USD,sheet
2025-08-21,ASX,9.9401,USD,derived
2026-07-22,ASX,38.4114,USD,derived
2026-08-14,ASX,37.5888,USD,derived
2026-08-21,ASX,36.51,USD,sheet
2025-08-21,AVGO,311.243,USD,derived
2026-07-22,AVGO,370.816,USD,derived
2026-08-14,AVGO,422.407,USD,derived
2026-08-21,AVGO,364.03,USD,sheet
2025-08-21,AXTI,2.16,USD,derived
2026-07-22,AXTI,45.8605,USD,derived
2026-08-14,AXTI,73.8064,USD,derived
2026-08-21,AXTI,73.12,USD,sheet
2025-08-21,BABA,122.276,USD,derived
2026-07-22,BABA,114.974,USD,derived
2026-08-14,BABA,132.316,USD,derived
2026-08-21,BABA,130.53,USD,sheet
2025-08-21,BE,45.1098,USD,derived
2026-07-22,BE,214.97,USD,derived
2026-08-14,BE,210.631,USD,derived
2026-08-21,BE,202.48,USD,sheet
2026-07-22,BOT,29.1804,USD,derived
2026-08-14,BOT,27.1606,USD,derived
2026-08-21,BOT,28.41,USD,sheet
2025-08-21,BRUN,10.2901,USD,derived
2026-07-22,BRUN,24.4209,USD,derived
